ID	mol_weight[kDa]
Solyc00g500001.1.1	25.458
Solyc00g500002.1.1	16.188
Solyc00g500003.1.1	62.390
Solyc00g500004.1.1	10.906
Solyc00g500005.1.1	9.185
Solyc00g500006.1.1	6.535
Solyc00g500007.1.1	19.423
Solyc00g500008.1.1	19.287
Solyc00g500009.1.1	11.911
Solyc00g500010.1.1	8.726
Solyc00g500011.1.1	9.379
Solyc00g500012.1.1	25.245
Solyc00g500013.1.1	9.317
Solyc00g500014.1.1	8.543
Solyc00g500015.1.1	12.768
Solyc00g500016.1.1	13.843
Solyc00g500017.1.1	13.790
Solyc00g500018.1.1	16.029
Solyc00g014290.1.1	12.229
Solyc00g005280.1.1	15.280
Solyc00g500019.1.1	14.436
Solyc00g500020.1.1	48.731
Solyc00g500021.1.1	12.060
Solyc00g500022.1.1	12.052
Solyc00g180440.1.1	10.254
Solyc00g500023.1.1	17.565
Solyc00g500024.1.1	56.014
Solyc00g500025.1.1	6.842
Solyc00g500026.1.1	7.157
Solyc00g500027.1.1	26.100
Solyc00g500028.1.1	16.142
Solyc00g500029.1.1	10.289
Solyc00g500030.1.1	14.913
Solyc00g500031.1.1	29.384
Solyc00g500032.1.1	13.222
Solyc00g500033.1.1	18.889
Solyc00g500034.1.1	40.466
Solyc00g500035.1.1	15.116
Solyc00g500036.1.1	14.991
Solyc00g500037.1.1	257.577
Solyc00g500038.1.1	8.532
Solyc00g500039.1.1	17.942
Solyc00g500040.1.1	21.703
Solyc00g500041.1.1	40.062
Solyc00g500042.1.1	116.311
Solyc00g500043.1.1	71.994
Solyc00g500044.1.1	17.942
Solyc00g500045.1.1	8.532
Solyc00g500046.1.1	257.577
Solyc00g500047.1.1	32.150
Solyc00g277510.1.1	7.600
Solyc00g500048.1.1	52.908
Solyc00g500049.1.1	11.006
Solyc00g500050.1.1	55.411
Solyc00g500051.1.1	41.130
Solyc00g500052.1.1	186.574
Solyc00g500053.1.1	25.388
Solyc00g500054.1.1	85.582
Solyc00g500055.1.1	14.479
Solyc00g500056.1.1	82.409
Solyc00g500057.1.1	72.129
Solyc00g500058.1.1	15.015
Solyc00g500059.1.1	9.449
Solyc00g500060.1.1	31.884
Solyc00g500061.1.1	18.565
Solyc00g500062.1.1	28.552
Solyc00g500063.1.1	51.394
Solyc00g500064.1.1	53.467
Solyc00g500065.1.1	44.722
Solyc00g500066.1.1	13.672
Solyc00g500067.1.1	48.731
Solyc00g500068.1.1	12.060
Solyc00g500069.1.1	7.163
Solyc00g500070.1.1	14.931
Solyc00g500071.1.1	56.014
Solyc00g500072.1.1	7.157
Solyc00g500073.1.1	27.762
Solyc00g500074.1.1	10.289
Solyc00g500075.1.1	14.913
Solyc00g500076.1.1	29.384
Solyc00g500077.1.1	13.222
Solyc00g500078.1.1	18.889
Solyc00g500079.1.1	15.116
Solyc00g500080.1.1	14.991
Solyc00g500081.1.1	257.577
Solyc00g500082.1.1	8.532
Solyc00g500083.1.1	17.942
Solyc00g500084.1.1	43.954
Solyc00g500085.1.1	20.004
Solyc00g500086.1.1	39.250
Solyc00g500087.1.1	45.604
Solyc00g500088.1.1	118.171
Solyc00g500089.1.1	14.616
Solyc00g500090.1.1	31.864
Solyc00g500091.1.1	27.106
Solyc00g011670.1.1	6.942
Solyc00g011660.1.1	35.521
Solyc00g500092.1.1	32.429
Solyc00g500093.1.1	23.424
Solyc00g500094.1.1	50.450
Solyc00g500095.1.1	38.631
Solyc00g500096.1.1	32.623
Solyc00g011560.1.1	23.175
Solyc00g500097.1.1	16.839
Solyc00g500098.1.1	39.216
Solyc00g500099.1.1	19.131
Solyc00g500100.1.1	67.856
Solyc00g500101.1.1	15.405
Solyc00g500102.1.1	24.563
Solyc00g153980.1.1	6.102
Solyc00g309530.1.1	5.862
Solyc00g164580.1.1	19.913
Solyc00g210860.1.1	10.000
Solyc00g025400.2.1	16.885
Solyc00g022070.1.1	5.438
Solyc00g022080.1.1	7.946
Solyc00g022090.1.1	12.921
Solyc00g022100.1.1	18.282
Solyc00g500103.1.1	31.700
Solyc00g072800.2.1	19.735
Solyc00g500104.1.1	23.838
Solyc00g500105.1.1	37.619
Solyc00g500106.1.1	18.025
Solyc00g500107.1.1	17.942
Solyc00g500108.1.1	6.539
Solyc00g281110.1.1	13.832
Solyc00g500109.1.1	11.133
Solyc00g500110.1.1	19.284
Solyc00g500111.1.1	17.638
Solyc00g500112.1.1	14.478
Solyc00g142160.1.1	10.548
Solyc00g142170.2.1	33.738
Solyc00g500113.1.1	15.486
Solyc00g500114.1.1	22.827
Solyc00g500115.1.1	14.592
Solyc00g500116.1.1	19.176
Solyc00g500117.1.1	66.455
Solyc00g500118.1.1	15.405
Solyc00g500119.1.1	24.563
Solyc00g500120.1.1	10.186
Solyc00g500121.1.1	10.341
Solyc00g015600.1.1	5.331
Solyc00g500122.1.1	14.537
Solyc00g007330.1.1	18.907
Solyc00g007340.1.1	13.954
Solyc00g007350.1.1	33.031
Solyc00g500123.1.1	39.250
Solyc00g500124.1.1	45.604
Solyc00g500125.1.1	141.075
Solyc00g500126.1.1	71.994
Solyc00g500127.1.1	8.532
Solyc00g500128.1.1	257.577
Solyc00g500129.1.1	19.526
Solyc00g500130.1.1	38.950
Solyc00g500131.1.1	52.908
Solyc00g500132.1.1	11.006
Solyc00g500133.1.1	55.411
Solyc00g500134.1.1	42.868
Solyc00g500135.1.1	186.574
Solyc00g500136.1.1	85.582
Solyc00g500137.1.1	14.479
Solyc00g500138.1.1	82.409
Solyc00g500139.1.1	62.238
Solyc00g500140.1.1	14.466
Solyc00g500141.1.1	16.040
Solyc00g500142.1.1	16.304
Solyc00g500143.1.1	31.765
Solyc00g500144.1.1	9.449
Solyc00g500145.1.1	12.062
Solyc00g500146.1.1	23.308
Solyc00g500147.1.1	105.266
Solyc00g500148.1.1	38.548
Solyc00g500149.1.1	66.652
Solyc00g500150.1.1	12.243
Solyc00g500151.1.1	17.396
Solyc00g500152.1.1	15.195
Solyc00g500153.1.1	12.378
Solyc00g500154.1.1	12.972
Solyc00g500155.1.1	13.485
Solyc00g500156.1.1	15.020
Solyc00g500157.1.1	28.801
Solyc00g500158.1.1	19.019
Solyc00g500159.1.1	11.284
Solyc00g500160.1.1	23.482
Solyc00g500161.1.1	11.985
Solyc00g500162.1.1	10.562
Solyc00g500163.1.1	6.629
Solyc00g500164.1.1	11.502
Solyc00g500165.1.1	18.104
Solyc00g112190.2.1	26.144
Solyc00g500166.1.1	16.252
Solyc00g500167.1.1	41.854
Solyc00g230080.1.1	13.063
Solyc00g316530.1.1	8.506
Solyc00g069880.2.1	25.202
Solyc00g500168.1.1	32.053
Solyc00g013100.1.1	9.021
Solyc00g013110.1.1	10.297
Solyc00g126010.1.1	6.614
Solyc00g126000.1.1	5.406
Solyc00g125990.1.1	22.723
Solyc00g125980.1.1	7.093
Solyc00g244300.1.1	9.199
Solyc00g244290.1.1	17.782
Solyc00g244280.1.1	6.738
